date,country,pieces
31 Jul 2018 15:59,br,1
31 Jul 2018 15:38,ro,1
31 Jul 2018 14:39,ru,1
31 Jul 2018 13:59,ua,1
31 Jul 2018 13:38,br,1
31 Jul 2018 13:30,hu,1
31 Jul 2018 13:13,ee,1
31 Jul 2018 13:04,br,1
31 Jul 2018 12:06,ru,1
31 Jul 2018 11:57,cl,1
31 Jul 2018 11:55,cl,1
31 Jul 2018 11:52,pl,1
31 Jul 2018 11:36,uz,1
31 Jul 2018 11:03,br,1
31 Jul 2018 10:44,ru,1
31 Jul 2018 09:56,ru,1
31 Jul 2018 09:44,gr,1
31 Jul 2018 09:13,br,1
31 Jul 2018 08:30,tr,1
31 Jul 2018 08:28,pk,1
31 Jul 2018 12:06,ru,1
31 Jul 2018 11:57,cl,1
31 Jul 2018 11:55,cl,1
31 Jul 2018 11:52,pl,1
31 Jul 2018 11:36,uz,1
31 Jul 2018 11:03,br,1
31 Jul 2018 10:44,ru,1
31 Jul 2018 09:56,ru,1
31 Jul 2018 09:44,gr,1
31 Jul 2018 09:13,br,1
31 Jul 2018 08:30,tr,1
31 Jul 2018 08:28,pk,1
31 Jul 2018 07:14,bw,1
31 Jul 2018 06:26,ru,1
31 Jul 2018 05:43,ru,1
31 Jul 2018 05:15,ru,1
31 Jul 2018 05:01,uk,1
31 Jul 2018 03:38,tr,1
31 Jul 2018 03:26,om,1
31 Jul 2018 00:32,ru,1
31 Jul 2018 09:44,gr,1
31 Jul 2018 09:13,br,1
31 Jul 2018 08:30,tr,1
31 Jul 2018 08:28,pk,1
31 Jul 2018 07:14,bw,1
31 Jul 2018 06:26,ru,1
31 Jul 2018 05:43,ru,1
31 Jul 2018 05:15,ru,1
31 Jul 2018 05:01,uk,1
31 Jul 2018 03:38,tr,1
31 Jul 2018 03:26,om,1
31 Jul 2018 00:32,ru,1
31 Jul 2018 00:26,nl,1
30 Jul 2018 22:43,fi,1
30 Jul 2018 22:27,in,1
30 Jul 2018 17:27,id,1
30 Jul 2018 17:08,tr,1
30 Jul 2018 16:24,us,1
30 Jul 2018 16:10,ru,1
30 Jul 2018 15:15,uk,1
